"Dataplot Line Number","Verification Group","Case Name","Type of Metric","Expected Metric","Predicted Metric","Dependent Variable","Type of Error","Error","Error Tolerance","Within Specified Error Tolerance","Plot Filename"
22,"Mass","Mass_Balance","max",1e-12,1e-12,"Temperature ($^\circ$C)","Relative Error","0.00e+00","1.00e-01","Yes","Verification/Temperature_Change_Pressure_Equilibrium_Test_With_Window"
22,"Mass","Mass_Balance","max",0,0,"Temperature ($^\circ$C)","Relative Error","NaN","1.00e-01","No","Verification/Temperature_Change_Pressure_Equilibrium_Test_With_Window"
22,"Mass","Mass_Balance","max",0,0,"Temperature ($^\circ$C)","Relative Error","NaN","1.00e-01","No","Verification/Temperature_Change_Pressure_Equilibrium_Test_With_Window"
22,"Mass","Mass_Balance","max",0,0,"Temperature ($^\circ$C)","Relative Error","NaN","1.00e-01","No","Verification/Temperature_Change_Pressure_Equilibrium_Test_With_Window"
22,"Mass","Mass_Balance","max",0,0,"Temperature ($^\circ$C)","Relative Error","NaN","1.00e-01","No","Verification/Temperature_Change_Pressure_Equilibrium_Test_With_Window"
22,"Mass","Mass_Balance","max",0,0,"Temperature ($^\circ$C)","Relative Error","NaN","1.00e-01","No","Verification/Temperature_Change_Pressure_Equilibrium_Test_With_Window"
22,"Mass","Mass_Balance","max",0,0,"Temperature ($^\circ$C)","Relative Error","NaN","1.00e-01","No","Verification/Temperature_Change_Pressure_Equilibrium_Test_With_Window"
22,"Mass","Mass_Balance","max",0,0,"Temperature ($^\circ$C)","Relative Error","NaN","1.00e-01","No","Verification/Temperature_Change_Pressure_Equilibrium_Test_With_Window"
22,"Mass","Mass_Balance","max",0,0,"Temperature ($^\circ$C)","Relative Error","NaN","1.00e-01","No","Verification/Temperature_Change_Pressure_Equilibrium_Test_With_Window"
23,"Mass","Mass_Balance","max",1e-12,1e-12,"Pressure (Pa)","Relative Error","0.00e+00","1.00e-01","Yes","Verification/Pressure_Equilibrium_Walls_Off"
23,"Mass","Mass_Balance","max",0,0,"Pressure (Pa)","Relative Error","NaN","1.00e-01","No","Verification/Pressure_Equilibrium_Walls_Off"
23,"Mass","Mass_Balance","max",0,0,"Pressure (Pa)","Relative Error","NaN","1.00e-01","No","Verification/Pressure_Equilibrium_Walls_Off"
23,"Mass","Mass_Balance","max",0,0,"Pressure (Pa)","Relative Error","NaN","1.00e-01","No","Verification/Pressure_Equilibrium_Walls_Off"
23,"Mass","Mass_Balance","max",0,0,"Pressure (Pa)","Relative Error","NaN","1.00e-01","No","Verification/Pressure_Equilibrium_Walls_Off"
23,"Mass","Mass_Balance","max",0,0,"Pressure (Pa)","Relative Error","NaN","1.00e-01","No","Verification/Pressure_Equilibrium_Walls_Off"
23,"Mass","Mass_Balance","max",0,0,"Pressure (Pa)","Relative Error","NaN","1.00e-01","No","Verification/Pressure_Equilibrium_Walls_Off"
23,"Mass","Mass_Balance","max",0,0,"Pressure (Pa)","Relative Error","NaN","1.00e-01","No","Verification/Pressure_Equilibrium_Walls_Off"
23,"Mass","Mass_Balance","max",0,0,"Pressure (Pa)","Relative Error","NaN","1.00e-01","No","Verification/Pressure_Equilibrium_Walls_Off"
23,"Mass","Mass_Balance","max",0,0,"Pressure (Pa)","Relative Error","NaN","1.00e-01","No","Verification/Pressure_Equilibrium_Walls_Off"
24,"Mass","Mass_Balance","max",1e-12,1e-12,"Temperature ($^\circ$C)","Relative Error","0.00e+00","1.00e-01","Yes","Verification/Temperature_Change_Pressure_Equilibrium_Test_With_Walls_Off"
24,"Mass","Mass_Balance","max",1e-12,1e-12,"Temperature ($^\circ$C)","Relative Error","0.00e+00","1.00e-01","Yes","Verification/Temperature_Change_Pressure_Equilibrium_Test_With_Walls_Off"
24,"Mass","Mass_Balance","max",0,0,"Temperature ($^\circ$C)","Relative Error","NaN","1.00e-01","No","Verification/Temperature_Change_Pressure_Equilibrium_Test_With_Walls_Off"
24,"Mass","Mass_Balance","max",0,0,"Temperature ($^\circ$C)","Relative Error","NaN","1.00e-01","No","Verification/Temperature_Change_Pressure_Equilibrium_Test_With_Walls_Off"
24,"Mass","Mass_Balance","max",0,0,"Temperature ($^\circ$C)","Relative Error","NaN","1.00e-01","No","Verification/Temperature_Change_Pressure_Equilibrium_Test_With_Walls_Off"
24,"Mass","Mass_Balance","max",0,0,"Temperature ($^\circ$C)","Relative Error","NaN","1.00e-01","No","Verification/Temperature_Change_Pressure_Equilibrium_Test_With_Walls_Off"
24,"Mass","Mass_Balance","max",0,0,"Temperature ($^\circ$C)","Relative Error","NaN","1.00e-01","No","Verification/Temperature_Change_Pressure_Equilibrium_Test_With_Walls_Off"
24,"Mass","Mass_Balance","max",0,0,"Temperature ($^\circ$C)","Relative Error","NaN","1.00e-01","No","Verification/Temperature_Change_Pressure_Equilibrium_Test_With_Walls_Off"
24,"Mass","Mass_Balance","max",0,0,"Temperature ($^\circ$C)","Relative Error","NaN","1.00e-01","No","Verification/Temperature_Change_Pressure_Equilibrium_Test_With_Walls_Off"
24,"Mass","Mass_Balance","max",0,0,"Temperature ($^\circ$C)","Relative Error","NaN","1.00e-01","No","Verification/Temperature_Change_Pressure_Equilibrium_Test_With_Walls_Off"
25,"Mass","Mass_Balance","max",1191.28,280.04,"Pressure (Pa)","Relative Error","7.65e-01","1.00e-01","No","Verification/Pressure_Dropoff_Test"
25,"Mass","Mass_Balance","max",0,0,"Pressure (Pa)","Relative Error","NaN","1.00e-01","No","Verification/Pressure_Dropoff_Test"
25,"Mass","Mass_Balance","max",0,0,"Pressure (Pa)","Relative Error","NaN","1.00e-01","No","Verification/Pressure_Dropoff_Test"
25,"Mass","Mass_Balance","max",0,0,"Pressure (Pa)","Relative Error","NaN","1.00e-01","No","Verification/Pressure_Dropoff_Test"
25,"Mass","Mass_Balance","max",0,0,"Pressure (Pa)","Relative Error","NaN","1.00e-01","No","Verification/Pressure_Dropoff_Test"
25,"Mass","Mass_Balance","max",0,0,"Pressure (Pa)","Relative Error","NaN","1.00e-01","No","Verification/Pressure_Dropoff_Test"
25,"Mass","Mass_Balance","max",0,0,"Pressure (Pa)","Relative Error","NaN","1.00e-01","No","Verification/Pressure_Dropoff_Test"
25,"Mass","Mass_Balance","max",0,0,"Pressure (Pa)","Relative Error","NaN","1.00e-01","No","Verification/Pressure_Dropoff_Test"
25,"Mass","Mass_Balance","max",0,0,"Pressure (Pa)","Relative Error","NaN","1.00e-01","No","Verification/Pressure_Dropoff_Test"
25,"Mass","Mass_Balance","max",0,0,"Pressure (Pa)","Relative Error","NaN","1.00e-01","No","Verification/Pressure_Dropoff_Test"
26,"Mass","Mass_Balance","max",1e-12,-0.000558,"Mass Flow Rate (kg/s)","Relative Error","5.58e+08","1.00e-01","No","Verification/Mass_Flow_Test_Mechanical_Vent"
26,"Mass","Mass_Balance","max",1e-12,4.3623,"Mass Flow Rate (kg/s)","Relative Error","4.36e+12","1.00e-01","No","Verification/Mass_Flow_Test_Mechanical_Vent"
26,"Mass","Mass_Balance","max",1e-12,6.5609,"Mass Flow Rate (kg/s)","Relative Error","6.56e+12","1.00e-01","No","Verification/Mass_Flow_Test_Mechanical_Vent"
26,"Mass","Mass_Balance","max",0,0,"Mass Flow Rate (kg/s)","Relative Error","NaN","1.00e-01","No","Verification/Mass_Flow_Test_Mechanical_Vent"
26,"Mass","Mass_Balance","max",0,0,"Mass Flow Rate (kg/s)","Relative Error","NaN","1.00e-01","No","Verification/Mass_Flow_Test_Mechanical_Vent"
26,"Mass","Mass_Balance","max",0,0,"Mass Flow Rate (kg/s)","Relative Error","NaN","1.00e-01","No","Verification/Mass_Flow_Test_Mechanical_Vent"
26,"Mass","Mass_Balance","max",0,0,"Mass Flow Rate (kg/s)","Relative Error","NaN","1.00e-01","No","Verification/Mass_Flow_Test_Mechanical_Vent"
26,"Mass","Mass_Balance","max",0,0,"Mass Flow Rate (kg/s)","Relative Error","NaN","1.00e-01","No","Verification/Mass_Flow_Test_Mechanical_Vent"
26,"Mass","Mass_Balance","max",0,0,"Mass Flow Rate (kg/s)","Relative Error","NaN","1.00e-01","No","Verification/Mass_Flow_Test_Mechanical_Vent"
26,"Mass","Mass_Balance","max",0,0,"Mass Flow Rate (kg/s)","Relative Error","NaN","1.00e-01","No","Verification/Mass_Flow_Test_Mechanical_Vent"
30,"Mass","Mass_Balance","max",353.85,367.939,"Temperature ($^\circ$C)","Relative Error","3.98e-02","1.00e-01","Yes","Verification/Temperature_No_Window"
30,"Mass","Mass_Balance","max",145.84,108.383,"Temperature ($^\circ$C)","Relative Error","2.57e-01","1.00e-01","No","Verification/Temperature_No_Window"
30,"Mass","Mass_Balance","max",0,0,"Temperature ($^\circ$C)","Relative Error","NaN","1.00e-01","No","Verification/Temperature_No_Window"
30,"Mass","Mass_Balance","max",0,0,"Temperature ($^\circ$C)","Relative Error","NaN","1.00e-01","No","Verification/Temperature_No_Window"
30,"Mass","Mass_Balance","max",0,0,"Temperature ($^\circ$C)","Relative Error","NaN","1.00e-01","No","Verification/Temperature_No_Window"
30,"Mass","Mass_Balance","max",0,0,"Temperature ($^\circ$C)","Relative Error","NaN","1.00e-01","No","Verification/Temperature_No_Window"
30,"Mass","Mass_Balance","max",0,0,"Temperature ($^\circ$C)","Relative Error","NaN","1.00e-01","No","Verification/Temperature_No_Window"
30,"Mass","Mass_Balance","max",0,0,"Temperature ($^\circ$C)","Relative Error","NaN","1.00e-01","No","Verification/Temperature_No_Window"
30,"Mass","Mass_Balance","max",0,0,"Temperature ($^\circ$C)","Relative Error","NaN","1.00e-01","No","Verification/Temperature_No_Window"
30,"Mass","Mass_Balance","max",0,0,"Temperature ($^\circ$C)","Relative Error","NaN","1.00e-01","No","Verification/Temperature_No_Window"
31,"Mass","Mass_Balance","max",1e-12,-0.0005,"Height (m)","Relative Error","5.00e+08","1.00e-01","No","Verification/HGT_No_Window"
31,"Mass","Mass_Balance","max",0,0,"Height (m)","Relative Error","NaN","1.00e-01","No","Verification/HGT_No_Window"
31,"Mass","Mass_Balance","max",0,0,"Height (m)","Relative Error","NaN","1.00e-01","No","Verification/HGT_No_Window"
31,"Mass","Mass_Balance","max",0,0,"Height (m)","Relative Error","NaN","1.00e-01","No","Verification/HGT_No_Window"
31,"Mass","Mass_Balance","max",0,0,"Height (m)","Relative Error","NaN","1.00e-01","No","Verification/HGT_No_Window"
31,"Mass","Mass_Balance","max",0,0,"Height (m)","Relative Error","NaN","1.00e-01","No","Verification/HGT_No_Window"
31,"Mass","Mass_Balance","max",0,0,"Height (m)","Relative Error","NaN","1.00e-01","No","Verification/HGT_No_Window"
31,"Mass","Mass_Balance","max",0,0,"Height (m)","Relative Error","NaN","1.00e-01","No","Verification/HGT_No_Window"
31,"Mass","Mass_Balance","max",0,0,"Height (m)","Relative Error","NaN","1.00e-01","No","Verification/HGT_No_Window"
31,"Mass","Mass_Balance","max",0,0,"Height (m)","Relative Error","NaN","1.00e-01","No","Verification/HGT_No_Window"
32,"Mass","Mass_Balance","max",0.2048,0.2048,"Mole Fraction (frac)","Relative Error","0.00e+00","1.00e-01","Yes","Verification/Species_Production_No_Window"
32,"Mass","Mass_Balance","max",0.025644,0.051734,"Mole Fraction (frac)","Relative Error","1.02e+00","1.00e-01","No","Verification/Species_Production_No_Window"
32,"Mass","Mass_Balance","max",0.051333,0.11649,"Mole Fraction (frac)","Relative Error","1.27e+00","1.00e-01","No","Verification/Species_Production_No_Window"
32,"Mass","Mass_Balance","max",0,0,"Mole Fraction (frac)","Relative Error","NaN","1.00e-01","No","Verification/Species_Production_No_Window"
32,"Mass","Mass_Balance","max",0,0,"Mole Fraction (frac)","Relative Error","NaN","1.00e-01","No","Verification/Species_Production_No_Window"
32,"Mass","Mass_Balance","max",0,0,"Mole Fraction (frac)","Relative Error","NaN","1.00e-01","No","Verification/Species_Production_No_Window"
32,"Mass","Mass_Balance","max",0,0,"Mole Fraction (frac)","Relative Error","NaN","1.00e-01","No","Verification/Species_Production_No_Window"
32,"Mass","Mass_Balance","max",0,0,"Mole Fraction (frac)","Relative Error","NaN","1.00e-01","No","Verification/Species_Production_No_Window"
32,"Mass","Mass_Balance","max",0,0,"Mole Fraction (frac)","Relative Error","NaN","1.00e-01","No","Verification/Species_Production_No_Window"
32,"Mass","Mass_Balance","max",0,0,"Mole Fraction (frac)","Relative Error","NaN","1.00e-01","No","Verification/Species_Production_No_Window"
33,"Mass","Mass_Balance","max",353.85,233.859,"Temperature ($^\circ$C)","Relative Error","3.39e-01","1.00e-01","No","Verification/Temperature_Two_Windows"
33,"Mass","Mass_Balance","max",145.84,55.6562,"Temperature ($^\circ$C)","Relative Error","6.18e-01","1.00e-01","No","Verification/Temperature_Two_Windows"
33,"Mass","Mass_Balance","max",0,0,"Temperature ($^\circ$C)","Relative Error","NaN","1.00e-01","No","Verification/Temperature_Two_Windows"
33,"Mass","Mass_Balance","max",0,0,"Temperature ($^\circ$C)","Relative Error","NaN","1.00e-01","No","Verification/Temperature_Two_Windows"
33,"Mass","Mass_Balance","max",0,0,"Temperature ($^\circ$C)","Relative Error","NaN","1.00e-01","No","Verification/Temperature_Two_Windows"
33,"Mass","Mass_Balance","max",0,0,"Temperature ($^\circ$C)","Relative Error","NaN","1.00e-01","No","Verification/Temperature_Two_Windows"
33,"Mass","Mass_Balance","max",0,0,"Temperature ($^\circ$C)","Relative Error","NaN","1.00e-01","No","Verification/Temperature_Two_Windows"
33,"Mass","Mass_Balance","max",0,0,"Temperature ($^\circ$C)","Relative Error","NaN","1.00e-01","No","Verification/Temperature_Two_Windows"
33,"Mass","Mass_Balance","max",0,0,"Temperature ($^\circ$C)","Relative Error","NaN","1.00e-01","No","Verification/Temperature_Two_Windows"
33,"Mass","Mass_Balance","max",0,0,"Temperature ($^\circ$C)","Relative Error","NaN","1.00e-01","No","Verification/Temperature_Two_Windows"
34,"Mass","Mass_Balance","max",1e-12,-0.0005,"Height (m)","Relative Error","5.00e+08","1.00e-01","No","Verification/HGT_Two_Windows"
34,"Mass","Mass_Balance","max",0,0,"Height (m)","Relative Error","NaN","1.00e-01","No","Verification/HGT_Two_Windows"
34,"Mass","Mass_Balance","max",0,0,"Height (m)","Relative Error","NaN","1.00e-01","No","Verification/HGT_Two_Windows"
34,"Mass","Mass_Balance","max",0,0,"Height (m)","Relative Error","NaN","1.00e-01","No","Verification/HGT_Two_Windows"
34,"Mass","Mass_Balance","max",0,0,"Height (m)","Relative Error","NaN","1.00e-01","No","Verification/HGT_Two_Windows"
34,"Mass","Mass_Balance","max",0,0,"Height (m)","Relative Error","NaN","1.00e-01","No","Verification/HGT_Two_Windows"
34,"Mass","Mass_Balance","max",0,0,"Height (m)","Relative Error","NaN","1.00e-01","No","Verification/HGT_Two_Windows"
34,"Mass","Mass_Balance","max",0,0,"Height (m)","Relative Error","NaN","1.00e-01","No","Verification/HGT_Two_Windows"
34,"Mass","Mass_Balance","max",0,0,"Height (m)","Relative Error","NaN","1.00e-01","No","Verification/HGT_Two_Windows"
34,"Mass","Mass_Balance","max",0,0,"Height (m)","Relative Error","NaN","1.00e-01","No","Verification/HGT_Two_Windows"
35,"Mass","Mass_Balance","max",0.2048,0.2048,"Mole Fraction (frac)","Relative Error","0.00e+00","1.00e-01","Yes","Verification/Species_Production_Two_Windows"
35,"Mass","Mass_Balance","max",0.025644,0.014164,"Mole Fraction (frac)","Relative Error","4.48e-01","1.00e-01","No","Verification/Species_Production_Two_Windows"
35,"Mass","Mass_Balance","max",0.051333,0.028347,"Mole Fraction (frac)","Relative Error","4.48e-01","1.00e-01","No","Verification/Species_Production_Two_Windows"
35,"Mass","Mass_Balance","max",0,0,"Mole Fraction (frac)","Relative Error","NaN","1.00e-01","No","Verification/Species_Production_Two_Windows"
35,"Mass","Mass_Balance","max",0,0,"Mole Fraction (frac)","Relative Error","NaN","1.00e-01","No","Verification/Species_Production_Two_Windows"
35,"Mass","Mass_Balance","max",0,0,"Mole Fraction (frac)","Relative Error","NaN","1.00e-01","No","Verification/Species_Production_Two_Windows"
35,"Mass","Mass_Balance","max",0,0,"Mole Fraction (frac)","Relative Error","NaN","1.00e-01","No","Verification/Species_Production_Two_Windows"
35,"Mass","Mass_Balance","max",0,0,"Mole Fraction (frac)","Relative Error","NaN","1.00e-01","No","Verification/Species_Production_Two_Windows"
35,"Mass","Mass_Balance","max",0,0,"Mole Fraction (frac)","Relative Error","NaN","1.00e-01","No","Verification/Species_Production_Two_Windows"
35,"Mass","Mass_Balance","max",0,0,"Mole Fraction (frac)","Relative Error","NaN","1.00e-01","No","Verification/Species_Production_Two_Windows"
36,"Mass","Mass_Balance","max",353.85,194.649,"Temperature ($^\circ$C)","Relative Error","4.50e-01","1.00e-01","No","Verification/Temperature_Compartment_Geometry_Increase"
36,"Mass","Mass_Balance","max",145.84,85.206,"Temperature ($^\circ$C)","Relative Error","4.16e-01","1.00e-01","No","Verification/Temperature_Compartment_Geometry_Increase"
36,"Mass","Mass_Balance","max",0,0,"Temperature ($^\circ$C)","Relative Error","NaN","1.00e-01","No","Verification/Temperature_Compartment_Geometry_Increase"
36,"Mass","Mass_Balance","max",0,0,"Temperature ($^\circ$C)","Relative Error","NaN","1.00e-01","No","Verification/Temperature_Compartment_Geometry_Increase"
36,"Mass","Mass_Balance","max",0,0,"Temperature ($^\circ$C)","Relative Error","NaN","1.00e-01","No","Verification/Temperature_Compartment_Geometry_Increase"
36,"Mass","Mass_Balance","max",0,0,"Temperature ($^\circ$C)","Relative Error","NaN","1.00e-01","No","Verification/Temperature_Compartment_Geometry_Increase"
36,"Mass","Mass_Balance","max",0,0,"Temperature ($^\circ$C)","Relative Error","NaN","1.00e-01","No","Verification/Temperature_Compartment_Geometry_Increase"
36,"Mass","Mass_Balance","max",0,0,"Temperature ($^\circ$C)","Relative Error","NaN","1.00e-01","No","Verification/Temperature_Compartment_Geometry_Increase"
36,"Mass","Mass_Balance","max",0,0,"Temperature ($^\circ$C)","Relative Error","NaN","1.00e-01","No","Verification/Temperature_Compartment_Geometry_Increase"
36,"Mass","Mass_Balance","max",0,0,"Temperature ($^\circ$C)","Relative Error","NaN","1.00e-01","No","Verification/Temperature_Compartment_Geometry_Increase"
37,"Mass","Mass_Balance","max",1e-12,-0.0005,"Height (m)","Relative Error","5.00e+08","1.00e-01","No","Verification/HGT_Compartment_Geometry_Increase"
37,"Mass","Mass_Balance","max",0,0,"Height (m)","Relative Error","NaN","1.00e-01","No","Verification/HGT_Compartment_Geometry_Increase"
37,"Mass","Mass_Balance","max",0,0,"Height (m)","Relative Error","NaN","1.00e-01","No","Verification/HGT_Compartment_Geometry_Increase"
37,"Mass","Mass_Balance","max",0,0,"Height (m)","Relative Error","NaN","1.00e-01","No","Verification/HGT_Compartment_Geometry_Increase"
37,"Mass","Mass_Balance","max",0,0,"Height (m)","Relative Error","NaN","1.00e-01","No","Verification/HGT_Compartment_Geometry_Increase"
37,"Mass","Mass_Balance","max",0,0,"Height (m)","Relative Error","NaN","1.00e-01","No","Verification/HGT_Compartment_Geometry_Increase"
37,"Mass","Mass_Balance","max",0,0,"Height (m)","Relative Error","NaN","1.00e-01","No","Verification/HGT_Compartment_Geometry_Increase"
37,"Mass","Mass_Balance","max",0,0,"Height (m)","Relative Error","NaN","1.00e-01","No","Verification/HGT_Compartment_Geometry_Increase"
37,"Mass","Mass_Balance","max",0,0,"Height (m)","Relative Error","NaN","1.00e-01","No","Verification/HGT_Compartment_Geometry_Increase"
37,"Mass","Mass_Balance","max",0,0,"Height (m)","Relative Error","NaN","1.00e-01","No","Verification/HGT_Compartment_Geometry_Increase"
38,"Mass","Mass_Balance","max",0.2048,0.2048,"Mole Fraction (frac)","Relative Error","0.00e+00","1.00e-01","Yes","Verification/Species_Production_Compartment_Geometry_Increase"
38,"Mass","Mass_Balance","max",0.025644,0.023704,"Mole Fraction (frac)","Relative Error","7.57e-02","1.00e-01","Yes","Verification/Species_Production_Compartment_Geometry_Increase"
38,"Mass","Mass_Balance","max",0.051333,0.050023,"Mole Fraction (frac)","Relative Error","2.55e-02","1.00e-01","Yes","Verification/Species_Production_Compartment_Geometry_Increase"
38,"Mass","Mass_Balance","max",0,0,"Mole Fraction (frac)","Relative Error","NaN","1.00e-01","No","Verification/Species_Production_Compartment_Geometry_Increase"
38,"Mass","Mass_Balance","max",0,0,"Mole Fraction (frac)","Relative Error","NaN","1.00e-01","No","Verification/Species_Production_Compartment_Geometry_Increase"
38,"Mass","Mass_Balance","max",0,0,"Mole Fraction (frac)","Relative Error","NaN","1.00e-01","No","Verification/Species_Production_Compartment_Geometry_Increase"
38,"Mass","Mass_Balance","max",0,0,"Mole Fraction (frac)","Relative Error","NaN","1.00e-01","No","Verification/Species_Production_Compartment_Geometry_Increase"
38,"Mass","Mass_Balance","max",0,0,"Mole Fraction (frac)","Relative Error","NaN","1.00e-01","No","Verification/Species_Production_Compartment_Geometry_Increase"
38,"Mass","Mass_Balance","max",0,0,"Mole Fraction (frac)","Relative Error","NaN","1.00e-01","No","Verification/Species_Production_Compartment_Geometry_Increase"
38,"Mass","Mass_Balance","max",0,0,"Mole Fraction (frac)","Relative Error","NaN","1.00e-01","No","Verification/Species_Production_Compartment_Geometry_Increase"
39,"Mass","Mass_Balance","max",234.74,233.859,"Temperature ($^\circ$C)","Relative Error","3.75e-03","1.00e-01","Yes","Verification/Temperature_Two_Window_vs_No_Window"
39,"Mass","Mass_Balance","max",47.9,55.6562,"Temperature ($^\circ$C)","Relative Error","1.62e-01","1.00e-01","No","Verification/Temperature_Two_Window_vs_No_Window"
39,"Mass","Mass_Balance","max",0,0,"Temperature ($^\circ$C)","Relative Error","NaN","1.00e-01","No","Verification/Temperature_Two_Window_vs_No_Window"
39,"Mass","Mass_Balance","max",0,0,"Temperature ($^\circ$C)","Relative Error","NaN","1.00e-01","No","Verification/Temperature_Two_Window_vs_No_Window"
39,"Mass","Mass_Balance","max",0,0,"Temperature ($^\circ$C)","Relative Error","NaN","1.00e-01","No","Verification/Temperature_Two_Window_vs_No_Window"
39,"Mass","Mass_Balance","max",0,0,"Temperature ($^\circ$C)","Relative Error","NaN","1.00e-01","No","Verification/Temperature_Two_Window_vs_No_Window"
39,"Mass","Mass_Balance","max",0,0,"Temperature ($^\circ$C)","Relative Error","NaN","1.00e-01","No","Verification/Temperature_Two_Window_vs_No_Window"
39,"Mass","Mass_Balance","max",0,0,"Temperature ($^\circ$C)","Relative Error","NaN","1.00e-01","No","Verification/Temperature_Two_Window_vs_No_Window"
39,"Mass","Mass_Balance","max",0,0,"Temperature ($^\circ$C)","Relative Error","NaN","1.00e-01","No","Verification/Temperature_Two_Window_vs_No_Window"
39,"Mass","Mass_Balance","max",0,0,"Temperature ($^\circ$C)","Relative Error","NaN","1.00e-01","No","Verification/Temperature_Two_Window_vs_No_Window"
41,"Mass","Mass_Balance","max",353.85,222.159,"Temperature ($^\circ$C)","Relative Error","3.72e-01","1.00e-01","No","Verification/Temperature_Ceiling_Vent_Added"
41,"Mass","Mass_Balance","max",145.84,43.716,"Temperature ($^\circ$C)","Relative Error","7.00e-01","1.00e-01","No","Verification/Temperature_Ceiling_Vent_Added"
41,"Mass","Mass_Balance","max",0,0,"Temperature ($^\circ$C)","Relative Error","NaN","1.00e-01","No","Verification/Temperature_Ceiling_Vent_Added"
41,"Mass","Mass_Balance","max",0,0,"Temperature ($^\circ$C)","Relative Error","NaN","1.00e-01","No","Verification/Temperature_Ceiling_Vent_Added"
41,"Mass","Mass_Balance","max",0,0,"Temperature ($^\circ$C)","Relative Error","NaN","1.00e-01","No","Verification/Temperature_Ceiling_Vent_Added"
41,"Mass","Mass_Balance","max",0,0,"Temperature ($^\circ$C)","Relative Error","NaN","1.00e-01","No","Verification/Temperature_Ceiling_Vent_Added"
41,"Mass","Mass_Balance","max",0,0,"Temperature ($^\circ$C)","Relative Error","NaN","1.00e-01","No","Verification/Temperature_Ceiling_Vent_Added"
41,"Mass","Mass_Balance","max",0,0,"Temperature ($^\circ$C)","Relative Error","NaN","1.00e-01","No","Verification/Temperature_Ceiling_Vent_Added"
41,"Mass","Mass_Balance","max",0,0,"Temperature ($^\circ$C)","Relative Error","NaN","1.00e-01","No","Verification/Temperature_Ceiling_Vent_Added"
41,"Mass","Mass_Balance","max",0,0,"Temperature ($^\circ$C)","Relative Error","NaN","1.00e-01","No","Verification/Temperature_Ceiling_Vent_Added"
42,"Mass","Mass_Balance","max",1e-12,-0.0005,"Height (m)","Relative Error","5.00e+08","1.00e-01","No","Verification/HGT_Ceiling_Vent_Added"
42,"Mass","Mass_Balance","max",0,0,"Height (m)","Relative Error","NaN","1.00e-01","No","Verification/HGT_Ceiling_Vent_Added"
42,"Mass","Mass_Balance","max",0,0,"Height (m)","Relative Error","NaN","1.00e-01","No","Verification/HGT_Ceiling_Vent_Added"
42,"Mass","Mass_Balance","max",0,0,"Height (m)","Relative Error","NaN","1.00e-01","No","Verification/HGT_Ceiling_Vent_Added"
42,"Mass","Mass_Balance","max",0,0,"Height (m)","Relative Error","NaN","1.00e-01","No","Verification/HGT_Ceiling_Vent_Added"
42,"Mass","Mass_Balance","max",0,0,"Height (m)","Relative Error","NaN","1.00e-01","No","Verification/HGT_Ceiling_Vent_Added"
42,"Mass","Mass_Balance","max",0,0,"Height (m)","Relative Error","NaN","1.00e-01","No","Verification/HGT_Ceiling_Vent_Added"
42,"Mass","Mass_Balance","max",0,0,"Height (m)","Relative Error","NaN","1.00e-01","No","Verification/HGT_Ceiling_Vent_Added"
42,"Mass","Mass_Balance","max",0,0,"Height (m)","Relative Error","NaN","1.00e-01","No","Verification/HGT_Ceiling_Vent_Added"
42,"Mass","Mass_Balance","max",0,0,"Height (m)","Relative Error","NaN","1.00e-01","No","Verification/HGT_Ceiling_Vent_Added"
43,"Mass","Mass_Balance","max",0.2048,0.2048,"Mole Fraction (frac)","Relative Error","0.00e+00","1.00e-01","Yes","Verification/Species_Production_Ceiling_Vent_Added"
43,"Mass","Mass_Balance","max",0.025644,0.013079,"Mole Fraction (frac)","Relative Error","4.90e-01","1.00e-01","No","Verification/Species_Production_Ceiling_Vent_Added"
43,"Mass","Mass_Balance","max",0.051333,0.026176,"Mole Fraction (frac)","Relative Error","4.90e-01","1.00e-01","No","Verification/Species_Production_Ceiling_Vent_Added"
43,"Mass","Mass_Balance","max",0,0,"Mole Fraction (frac)","Relative Error","NaN","1.00e-01","No","Verification/Species_Production_Ceiling_Vent_Added"
43,"Mass","Mass_Balance","max",0,0,"Mole Fraction (frac)","Relative Error","NaN","1.00e-01","No","Verification/Species_Production_Ceiling_Vent_Added"
43,"Mass","Mass_Balance","max",0,0,"Mole Fraction (frac)","Relative Error","NaN","1.00e-01","No","Verification/Species_Production_Ceiling_Vent_Added"
43,"Mass","Mass_Balance","max",0,0,"Mole Fraction (frac)","Relative Error","NaN","1.00e-01","No","Verification/Species_Production_Ceiling_Vent_Added"
43,"Mass","Mass_Balance","max",0,0,"Mole Fraction (frac)","Relative Error","NaN","1.00e-01","No","Verification/Species_Production_Ceiling_Vent_Added"
43,"Mass","Mass_Balance","max",0,0,"Mole Fraction (frac)","Relative Error","NaN","1.00e-01","No","Verification/Species_Production_Ceiling_Vent_Added"
43,"Mass","Mass_Balance","max",0,0,"Mole Fraction (frac)","Relative Error","NaN","1.00e-01","No","Verification/Species_Production_Ceiling_Vent_Added"
44,"Mass","Mass_Balance","max",235,178.232,"Temperature ($^\circ$C)","Relative Error","2.42e-01","1.00e-01","No","Verification/Temperature_Ceiling_Vent_Area_Doubled"
44,"Mass","Mass_Balance","max",47.9,21.7559,"Temperature ($^\circ$C)","Relative Error","5.46e-01","1.00e-01","No","Verification/Temperature_Ceiling_Vent_Area_Doubled"
